insert into drinks (id, name, minimum_age) values ('f691e82f-b8d2-41cd-91dd-3bda1aea709f', 'Water', 0);
insert into drinks (id, name, minimum_age) values ('21459426-1f9d-4d76-9c4f-d449e1f5f286', 'Coffee', 16);
insert into drinks (id, name, minimum_age) values ('18c24ea7-d438-40a8-a21b-786c869c884c', 'Tea', 4);
insert into drinks (id, name, minimum_age) values ('3b3f81d4-1b1b-4723-9b1b-abbb46e42621', 'Soda', 4);
insert into drinks (id, name, minimum_age) values ('754a0297-c5df-44ce-b670-9d0da75de5dc', 'Beer', 18);
insert into drinks (id, name, minimum_age) values ('0e1fd1c6-95fd-4e0e-83e0-a188658543af', 'Wine', 18);
insert into drinks (id, name, minimum_age) values ('41669120-d48c-4f65-a4c2-c3a3c9ba21e7', 'Orange Juice', 4);
insert into drinks (id, name, minimum_age) values ('27f297df-74e4-41f4-9ce4-e58be70ea520', 'Lemonade', 4);
insert into drinks (id, name, minimum_age) values ('2a8d2863-ab48-4631-894c-67570b26ddb5', 'Coca Cola', 4);
insert into drinks (id, name, minimum_age) values ('7b098af2-d14e-4518-9d79-f870967362df', 'Margarita', 21);
insert into drinks (id, name, minimum_age) values ('7ce19c1c-89fc-4dfd-a0f3-a12972c57844', 'Cosmopolitan', 21);
insert into drinks (id, name, minimum_age) values ('e93bc2dc-17b2-45ee-b08b-2bc3106db95f', 'Bloody Mary', 21);
insert into drinks (id, name, minimum_age) values ('24d8c2d0-6e72-4805-8122-8f25bb75beb0', 'Martini', 21);
insert into drinks (id, name, minimum_age) values ('16436dbb-0b6b-475e-ab62-248d36eb6c22', 'Shepard', 21);
insert into drinks (id, name, minimum_age) values ('6d4c106e-7716-4a99-aefe-bb5c163b21b5', 'Manhattan', 21);
insert into drinks (id, name, minimum_age) values ('2f743d41-691d-4bdc-8b5d-b4c411accaee', 'Daiquiri', 21);
insert into drinks (id, name, minimum_age) values ('8abf9dae-0448-4a7c-9a83-02f3d28d06fb', 'Mojito', 21);
insert into drinks (id, name, minimum_age) values ('b997f86c-4ffc-400c-93a5-fb872b952481', 'Gin and Tonic', 21);
insert into drinks (id, name, minimum_age) values ('0bc1ce01-4aaf-4033-b70a-05e9df7a5f17', 'Rum and Coke', 21);
insert into drinks (id, name, minimum_age) values ('b153f413-3361-4c77-a76c-a968b8bf446e', 'Whiskey Sour', 21);
insert into drinks (id, name, minimum_age) values ('39ee5871-1e5a-4d1f-8dbb-272ed8f8d052', 'Moscow Mule', 21);
insert into drinks (id, name, minimum_age) values ('10d3cff0-7b94-4eb0-8079-f7b8cc0cdb34', 'Long Island Iced Tea', 21);
insert into drinks (id, name, minimum_age) values ('68f175d9-35e2-4c20-a333-da4470e454e4', 'Pina Colada', 21);
insert into drinks (id, name, minimum_age) values ('63d7e6e1-9008-4aa0-8d4e-57ca10bc5324', 'Sangria', 18);
insert into drinks (id, name, minimum_age) values ('58dc7efc-aea4-4b55-8c15-0ed6329b739e', 'Hot Chocolate', 4);
insert into drinks (id, name, minimum_age) values ('00708a83-7013-4fb9-84b2-4ade21d2b648', 'Cassis', 4);
insert into drinks (id, name, minimum_age) values ('b4d95eeb-2ad8-4322-89f9-35f61ef04f05', 'Fanta Orange', 4);
